question,ground_truth_sql,generated_sql,success,error,latency,method
List all artists.,SELECT * FROM Artist,SELECT Name FROM Artist,True,,10.938,improved
List all albums.,SELECT * FROM Album,"SELECT AlbumId, Title, ArtistId FROM Album",True,,2.516,improved
How many artists are there?,SELECT COUNT(*) AS total_artists FROM Artist,SELECT count(*) FROM Artist,True,,1.961,improved
How many albums are there?,SELECT COUNT(*) AS total_albums FROM Album,SELECT count(*) FROM Album,True,,1.842,improved
How many tracks are there?,SELECT COUNT(*) AS total_tracks FROM Track,SELECT count(*) FROM Track,True,,1.682,improved
Show all genres.,SELECT * FROM Genre,SELECT * FROM Genre,True,,1.669,improved
Show all media types.,SELECT * FROM MediaType,SELECT * FROM MediaType,True,,1.603,improved
List all playlists.,SELECT * FROM Playlist,"SELECT PlaylistId, Name FROM Playlist",True,,2.106,improved
How many customers are there?,SELECT COUNT(*) AS total_customers FROM Customer,SELECT count(*) FROM Customer,True,,1.887,improved
How many employees are there?,SELECT COUNT(*) AS total_employees FROM Employee,SELECT count(*) FROM Employee,True,,1.8,improved
List all customers from Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil',SELECT * FROM Customer WHERE Country = 'Brazil',True,,2.529,improved
List all customers from Germany.,SELECT * FROM Customer WHERE Country = 'Germany',SELECT * FROM Customer WHERE Country = 'Germany',True,,2.506,improved
Show the first name and last name of all employees.,"SELECT FirstName, LastName FROM Employee","SELECT FirstName, LastName FROM Employee",True,,2.272,improved
Find all tracks in the Rock genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock',SELECT T.Name FROM Track AS T JOIN Genre AS G ON T.GenreId = G.GenreId WHERE G.Name = 'Rock',True,,7.311,improved
Find all tracks in the Jazz genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz',SELECT T.Name FROM Track AS T JOIN Genre AS G ON T.GenreId = G.GenreId WHERE G.Name = 'Jazz',True,,7.095,improved
List all albums by the artist AC/DC.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'AC/DC',SELECT A.Title FROM Album AS A JOIN Artist AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = 'AC/DC',True,,6.131,improved
List all albums by the artist Metallica.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'Metallica',SELECT T1.Title FROM Album AS T1 INNER JOIN Artist AS T2 ON T1.ArtistId = T2.ArtistId WHERE T2.Name = 'Metallica',True,,8.385,improved
Show the total number of tracks per genre.,"SELECT Genre.Name, COUNT(Track.TrackId) AS total_tracks FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name","SELECT T.GenreId, COUNT(*) AS TotalTracks FROM Track AS T JOIN Genre AS G ON T.GenreId = G.GenreId GROUP BY T.GenreId",True,,7.395,improved
Show the total number of albums per artist.,"SELECT Artist.Name, COUNT(Album.AlbumId) AS total_albums FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId GROUP BY Artist.Name","SELECT
  A.ArtistId,
  COUNT(A.AlbumId) AS TotalAlbums
FROM Artist AS A
JOIN Album AS AL
  ON A.ArtistId = AL.ArtistId
GROUP BY
  A.ArtistId;",False,"Execution failed on sql 'SELECT
  A.ArtistId,
  COUNT(A.AlbumId) AS TotalAlbums
FROM Artist AS A
JOIN Album AS AL
  ON A.ArtistId = AL.ArtistId
GROUP BY
  A.ArtistId;': (sqlite3.OperationalError) no such column: A.AlbumId
[SQL: SELECT
  A.ArtistId,
  COUNT(A.AlbumId) AS TotalAlbums
FROM Artist AS A
JOIN Album AS AL
  ON A.ArtistId = AL.ArtistId
GROUP BY
  A.ArtistId;]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",9.912,improved
What is the most expensive track?,"SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 1","SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 1",True,,3.327,improved
What are the top 5 longest tracks?,"SELECT Name, Milliseconds FROM Track ORDER BY Milliseconds DESC LIMIT 5","SELECT TrackId, Name
FROM Track
ORDER BY Milliseconds DESC
LIMIT 5",True,,4.715,improved
List all invoices from 2010.,"SELECT * FROM Invoice WHERE strftime('%Y', InvoiceDate) = '2010'","SELECT
  *
FROM Invoice
WHERE
  STRFTIME('%Y', InvoiceDate) = '2010';",True,,6.179,improved
What is the total revenue from all invoices?,SELECT SUM(Total) AS total_revenue FROM Invoice,SELECT SUM(Total) FROM Invoice,True,,2.173,improved
Which country has the most customers?,"SELECT Country, COUNT(*) AS total FROM Customer GROUP BY Country ORDER BY total DESC LIMIT 1",SELECT Country FROM Customer GROUP BY Country ORDER BY COUNT(*) DESC LIMIT 1,True,,4.091,improved
Show all tracks in the playlist Music.,SELECT Track.Name FROM Track JOIN PlaylistTrack ON Track.TrackId = PlaylistTrack.TrackId JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE Playlist.Name = 'Music',SELECT T.Name FROM Track AS T JOIN PlaylistTrack AS PT ON T.TrackId = PT.TrackId JOIN Playlist AS P ON PT.PlaylistId = P.PlaylistId WHERE P.Name = 'Music',True,,8.052,improved
Show all tracks in the playlist Movies.,SELECT Track.Name FROM Track JOIN PlaylistTrack ON Track.TrackId = PlaylistTrack.TrackId JOIN Playlist ON PlaylistTrack.PlaylistId = Playlist.PlaylistId WHERE Playlist.Name = 'Movies',SELECT T.Name FROM Track AS T INNER JOIN PlaylistTrack AS PT ON T.TrackId = PT.TrackId INNER JOIN Playlist AS P ON PT.PlaylistId = P.PlaylistId WHERE P.Name = 'Movies',True,,9.227,improved
How many tracks are in each playlist?,"SELECT Playlist.Name, COUNT(PlaylistTrack.TrackId) AS track_count FROM Playlist JOIN PlaylistTrack ON Playlist.PlaylistId = PlaylistTrack.PlaylistId GROUP BY Playlist.Name","SELECT p.Name, COUNT(pt.TrackId) FROM Playlist AS p JOIN PlaylistTrack AS pt ON p.PlaylistId = pt.PlaylistId GROUP BY p.PlaylistId",True,,8.974,improved
List the names of all customers who have made an invoice.,"SELECT DISTINCT Customer.FirstName, Customer.LastName FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId","SELECT DISTINCT FirstName, LastName FROM Customer WHERE CustomerId IN ( SELECT",False,"Execution failed on sql 'SELECT DISTINCT FirstName, LastName FROM Customer WHERE CustomerId IN ( SELECT': (sqlite3.OperationalError) incomplete input
[SQL: SELECT DISTINCT FirstName, LastName FROM Customer WHERE CustomerId IN ( SELECT]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",6.393,improved
What is the average invoice total?,SELECT AVG(Total) AS avg_total FROM Invoice,SELECT average(Total) FROM Invoice,False,"Execution failed on sql 'SELECT average(Total) FROM Invoice': (sqlite3.OperationalError) no such function: average
[SQL: SELECT average(Total) FROM Invoice]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.245,improved
