question,ground_truth_sql,generated_sql,success,error,latency,attempts,method
List all artists.,SELECT * FROM Artist,SELECT DISTINCT A.Name FROM Artist AS A,True,,19.081,1,improved+retry
List all albums.,SELECT * FROM Album,"SELECT AlbumId, Title, ArtistId FROM Album",True,,2.602,1,improved+retry
How many artists are there?,SELECT COUNT(*) AS total_artists FROM Artist,SELECT count(*) FROM Artist,True,,1.75,1,improved+retry
How many albums are there?,SELECT COUNT(*) AS total_albums FROM Album,SELECT count(*) FROM Album,True,,1.755,1,improved+retry
How many tracks are there?,SELECT COUNT(*) AS total_tracks FROM Track,SELECT count(*) FROM Track,True,,1.573,1,improved+retry
Show all genres.,SELECT * FROM Genre,SELECT Name FROM Genre,True,,1.561,1,improved+retry
Show all media types.,SELECT * FROM MediaType,SELECT Name FROM MediaType,True,,1.522,1,improved+retry
List all playlists.,SELECT * FROM Playlist,"SELECT PlaylistId, Name FROM Playlist",True,,2.032,1,improved+retry
How many customers are there?,SELECT COUNT(*) AS total_customers FROM Customer,SELECT count(*) FROM Customer,True,,1.823,1,improved+retry
How many employees are there?,SELECT COUNT(*) AS total_employees FROM Employee,SELECT count(*) FROM Employee,True,,1.713,1,improved+retry
List all customers from Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil',SELECT * FROM Customer WHERE Country = 'Brazil',True,,3.719,1,improved+retry
List all customers from Germany.,SELECT * FROM Customer WHERE Country = 'Germany',"SELECT CustomerId, FirstName, LastName, Company, Address, City, State, Country, PostalCode, Phone, Fax, Email, SupportRepId FROM Customer WHERE Country = 'Germany'",True,,11.98,1,improved+retry
Show the first name and last name of all employees.,"SELECT FirstName, LastName FROM Employee","SELECT FirstName, LastName FROM Employee",True,,2.159,1,improved+retry
Find all tracks in the Rock genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock',SELECT T.Name FROM Track AS T JOIN Genre AS G ON T.GenreId = G.GenreId WHERE G.Name = 'Rock',True,,7.211,1,improved+retry
Find all tracks in the Jazz genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz',"SELECT TrackId, Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz'",True,,23.532,2,improved+retry
List all albums by the artist AC/DC.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'AC/DC',SELECT A.Title FROM Album AS A JOIN Artist AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = 'AC/DC',True,,17.01,1,improved+retry
List all albums by the artist Metallica.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'Metallica',SELECT A.Title FROM Album AS A JOIN Artist AS AR ON A.ArtistId = AR.ArtistId WHERE AR.Name = 'Metallica',True,,6.163,1,improved+retry
Show the total number of tracks per genre.,"SELECT Genre.Name, COUNT(Track.TrackId) AS total_tracks FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId GROUP BY Genre.Name","SELECT T.GenreId, AVG(T.Bytes) FROM Track AS T GROUP BY T.GenreId",True,,4.805,1,improved+retry
Show the total number of albums per artist.,"SELECT Artist.Name, COUNT(Album.AlbumId) AS total_albums FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId GROUP BY Artist.Name","SELECT A.ArtistId, COUNT(AL.AlbumId) AS TotalAlbums FROM Artist AS A JOIN Album AS AL ON A.ArtistId = AL.ArtistId GROUP BY A.ArtistId",True,,32.268,2,improved+retry
What is the most expensive track?,"SELECT Name, UnitPrice FROM Track ORDER BY UnitPrice DESC LIMIT 1",SELECT Name FROM Track WHERE UnitPrice = (SELECT MAX(UnitPrice) FROM Track),True,,14.19,1,improved+retry
