question,ground_truth_sql,generated_sql,success,error,latency,method
List all artists.,SELECT * FROM Artist,SELECT artist_name FROM artists,False,"Execution failed on sql 'SELECT artist_name FROM artists': (sqlite3.OperationalError) no such table: artists
[SQL: SELECT artist_name FROM artists]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.847,baseline
List all albums.,SELECT * FROM Album,SELECT * FROM albums,False,"Execution failed on sql 'SELECT * FROM albums': (sqlite3.OperationalError) no such table: albums
[SQL: SELECT * FROM albums]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.477,baseline
How many artists are there?,SELECT COUNT(*) AS total_artists FROM Artist,SELECT COUNT(*) FROM artists,False,"Execution failed on sql 'SELECT COUNT(*) FROM artists': (sqlite3.OperationalError) no such table: artists
[SQL: SELECT COUNT(*) FROM artists]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.721,baseline
How many albums are there?,SELECT COUNT(*) AS total_albums FROM Album,SELECT count(*) FROM albums,False,"Execution failed on sql 'SELECT count(*) FROM albums': (sqlite3.OperationalError) no such table: albums
[SQL: SELECT count(*) FROM albums]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.737,baseline
How many tracks are there?,SELECT COUNT(*) AS total_tracks FROM Track,SELECT COUNT(*) FROM tracks,False,"Execution failed on sql 'SELECT COUNT(*) FROM tracks': (sqlite3.OperationalError) no such table: tracks
[SQL: SELECT COUNT(*) FROM tracks]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.717,baseline
Show all genres.,SELECT * FROM Genre,SELECT DISTINCT genre FROM movies,False,"Execution failed on sql 'SELECT DISTINCT genre FROM movies': (sqlite3.OperationalError) no such table: movies
[SQL: SELECT DISTINCT genre FROM movies]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.681,baseline
Show all media types.,SELECT * FROM MediaType,SELECT DISTINCT media_type FROM media,False,"Execution failed on sql 'SELECT DISTINCT media_type FROM media': (sqlite3.OperationalError) no such table: media
[SQL: SELECT DISTINCT media_type FROM media]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.975,baseline
List all playlists.,SELECT * FROM Playlist,SELECT * FROM playlists;,False,"Execution failed on sql 'SELECT * FROM playlists;': (sqlite3.OperationalError) no such table: playlists
[SQL: SELECT * FROM playlists;]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.749,baseline
How many customers are there?,SELECT COUNT(*) AS total_customers FROM Customer,SELECT count(*) FROM customers,False,"Execution failed on sql 'SELECT count(*) FROM customers': (sqlite3.OperationalError) no such table: customers
[SQL: SELECT count(*) FROM customers]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.969,baseline
How many employees are there?,SELECT COUNT(*) AS total_employees FROM Employee,SELECT COUNT(*) FROM employees,False,"Execution failed on sql 'SELECT COUNT(*) FROM employees': (sqlite3.OperationalError) no such table: employees
[SQL: SELECT COUNT(*) FROM employees]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",1.711,baseline
List all customers from Brazil.,SELECT * FROM Customer WHERE Country = 'Brazil',SELECT * FROM Customers WHERE Country = 'Brazil',False,"Execution failed on sql 'SELECT * FROM Customers WHERE Country = 'Brazil'': (sqlite3.OperationalError) no such table: Customers
[SQL: SELECT * FROM Customers WHERE Country = 'Brazil']
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.675,baseline
List all customers from Germany.,SELECT * FROM Customer WHERE Country = 'Germany',SELECT * FROM Customers WHERE Country = 'Germany',False,"Execution failed on sql 'SELECT * FROM Customers WHERE Country = 'Germany'': (sqlite3.OperationalError) no such table: Customers
[SQL: SELECT * FROM Customers WHERE Country = 'Germany']
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.45,baseline
Show the first name and last name of all employees.,"SELECT FirstName, LastName FROM Employee","SELECT first_name, last_name FROM employees",False,"Execution failed on sql 'SELECT first_name, last_name FROM employees': (sqlite3.OperationalError) no such table: employees
[SQL: SELECT first_name, last_name FROM employees]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.781,baseline
Find all tracks in the Rock genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Rock',SELECT * FROM Playlists WHERE genre = 'Rock',False,"Execution failed on sql 'SELECT * FROM Playlists WHERE genre = 'Rock'': (sqlite3.OperationalError) no such table: Playlists
[SQL: SELECT * FROM Playlists WHERE genre = 'Rock']
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.872,baseline
Find all tracks in the Jazz genre.,SELECT Track.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId WHERE Genre.Name = 'Jazz',SELECT * FROM Playlists WHERE genre = 'Jazz',False,"Execution failed on sql 'SELECT * FROM Playlists WHERE genre = 'Jazz'': (sqlite3.OperationalError) no such table: Playlists
[SQL: SELECT * FROM Playlists WHERE genre = 'Jazz']
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.8,baseline
List all albums by the artist AC/DC.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'AC/DC',SELECT * FROM albums WHERE artist = 'AC/DC';,False,"Execution failed on sql 'SELECT * FROM albums WHERE artist = 'AC/DC';': (sqlite3.OperationalError) no such table: albums
[SQL: SELECT * FROM albums WHERE artist = 'AC/DC';]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",3.071,baseline
List all albums by the artist Metallica.,SELECT Album.Title FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId WHERE Artist.Name = 'Metallica',SELECT * FROM albums WHERE artist = 'Metallica';,False,"Execution failed on sql 'SELECT * FROM albums WHERE artist = 'Metallica';': (sqlite3.OperationalError) no such table: albums
[SQL: SELECT * FROM albums WHERE artist = 'Metallica';]
(Background on this error at: https://sqlalche.me/e/20/e3q8)",2.764,baseline
